dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE236713,SIG002,T1,93,-0.056234709988524555,-0.033639590693196955,-0.40503362915302793,0.2942809095714002,0.05723973005578675,-0.16599978806375443,0.05672317273037734,-0.11353958739854363,0.4731182795698925,0.838588510084893,-0.05203100689481539,0.017458943702476748,-0.05623470998852497,0.058154006200340135,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T4,68,-0.1370508057004767,0.04309908347921522,-0.6575953173514819,0.45745742083699353,0.11548096799238752,-0.36882528644226903,0.06959711943340394,-0.27670973914590236,0.5441176470588235,0.5211089547444288,-0.13592106730223416,0.039798930993069886,-0.1370508057004767,0.11703956686835215,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG003,T1,93,-0.1534641773804949,-0.17223563464525693,-0.682768250822572,0.3529622421736958,0.09096688220567406,-0.33472471148887506,0.01634614527694562,-0.022724128105158732,0.45161290322580644,0.5869305524859808,-0.1489706214826863,0.027147743700348392,-0.1534641773804974,0.09222748831411948,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG003,T4,68,-0.60193957286053,-0.6044301207529096,-1.3276460248659512,0.24368520230415014,0.13770647631131983,-0.8900713211342535,-0.3325498740474715,-0.08913188861875555,0.35294117647058826,0.2159910702049861,-0.5960357180086744,0.037546587135336096,-0.6019395728605269,0.13649404634651022,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T1,93,0.1206989910054785,0.12316599555271975,-0.32210060852529504,0.7030519504937226,0.08256222783681795,-0.04695480071172939,0.2767742956951005,0.017368012978167875,0.5913978494623656,0.7288820758343034,0.1238207397781126,0.031040811523038878,0.12069899100547869,0.08183978759792215,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T4,68,0.3621844920318702,0.45602223360831873,-0.197827923579463,1.0521511546273945,0.11540502671106093,0.135447987961958,0.5837472107938546,0.05211663250619173,0.6470588235294118,0.5413966716457348,0.37277314147625756,0.03717751332089164,0.36218449203187036,0.11535425253358828,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T1,93,0.007560734455936181,-0.03094090230146608,-0.3625023731613722,0.3265692888363834,0.06342191912175074,-0.11820286930973546,0.12875089419750357,0.01165768467415895,0.4731182795698925,0.7925503159037756,0.011421752011535145,0.026163656558178237,0.007560734455936155,0.06571125863953152,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T4,68,0.20545357258436167,0.09191547920489468,-0.2754877569434633,0.6429451519970442,0.0925157926460476,0.020116850041247074,0.37911007243690037,0.3167831086155179,0.5735294117647058,0.6177821770969899,0.2098861706720618,0.03350632973245879,0.2054535725843604,0.09304591158391777,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG023,T1,93,-0.056010223761697724,-0.05897197658663766,-0.33160470655759294,0.20845435690484881,0.04748820606308736,-0.14781307854168335,0.03688730498795203,-0.15475501159575203,0.43010752688172044,0.8803981473714686,-0.060140838475106456,0.0168669036356505,-0.05601022376169768,0.04663006010303618,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG023,T4,68,-0.23651353493682126,-0.34118677576823425,-0.7247852267370679,0.16326905788982476,0.10737699879018296,-0.44209317038117213,-0.02094908977553405,-0.6534816750139448,0.3382352941176471,0.37638417427254733,-0.238928792146414,0.04314670659808767,-0.23651353493682067,0.10641998294644758,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG033,T1,93,-0.14503159437044655,-0.07646324026017094,-0.5635541561669822,0.2927269213424339,0.07725809130451461,-0.29672717795055825,0.0053664302759155735,-0.21350869022613964,0.45161290322580644,0.7073815089868982,-0.14964925624377057,0.023425743816912287,-0.14503159437044752,0.07885885055978666,CONVERGED,PRESPECIFIED_NON_PILOT
